0.76, -0.23, -0.59, 1
-0.55, 0.16, -0.94, 0
-0.46, -0.56, 0.22, 1
0.77, 0.23, -0.84, 1
-0.28, 0.10, 0.48, 1
0.95, 0.35, -0.68, 1
-0.19, -0.85, 0.79, 1
0.43, -0.75, 0.05, 1
0.26, 0.20, 0.78, 1
0.35, 0.32, 0.40, 1
0.13, 0.92, -0.72, 0
-0.70, -0.90, -0.36, 1
-0.86, 0.24, -0.62, 0
0.38, 0.61, -0.93, 0
0.16, -0.63, 0.34, 1
0.61, 0.73, 0.31, 0
0.15, -0.41, -0.12, 1
0.73, 0.23, 0.47, 1
0.17, 0.97, -0.55, 0
-0.33, 0.36, -0.33, 0
-0.37, 0.42, 0.81, 1
0.38, 0.65, 0.82, 1
-0.22, -0.39, 0.69, 1
0.91, 0.79, 0.57, 1
-0.30, 0.97, 0.00, 0
-0.76, 0.06, -0.12, 0
0.10, -0.77, 0.62, 1
-0.21, 0.93, -0.28, 0
0.17, -0.36, -0.32, 1
0.42, 0.58, -0.19, 0
0.09, -0.56, 0.48, 1
0.61, -0.72, -0.23, 1
-0.76, 0.88, -0.96, 0
0.72, -0.28, 0.33, 1
-0.13, -0.07, -0.16, 1
0.66, 0.36, 0.91, 1
0.03, 0.43, -0.49, 0
0.84, -0.08, 0.67, 1
-0.94, 0.68, -0.55, 0
-0.79, -0.24, 0.55, 1
-0.12, -0.83, 0.63, 1
0.77, -0.90, -0.93, 1
-0.81, -0.63, 0.18, 1
0.30, 0.86, 0.93, 0
0.37, -0.06, -0.86, 1
-0.80, 0.19, 0.14, 0
0.75, -0.98, 0.33, 1
-0.28, 0.70, -0.68, 0
-0.56, -0.43, 0.05, 1
-0.84, 0.37, 0.71, 0
0.42, -0.70, -0.21, 1
-0.34, -0.10, 0.42, 1
0.29, 0.63, 0.57, 1
-0.89, 0.56, -0.11, 0
-0.45, -0.35, 0.86, 1
-0.11, 0.26, -0.10, 0
-0.04, 0.62, -0.10, 0
-0.01, -0.06, -0.40, 1
0.99, 0.57, 0.25, 1
0.66, -0.59, -0.92, 1
-0.97, 0.41, -0.32, 0
-0.94, -0.98, -0.80, 1
-0.75, -0.92, 0.43, 1
0.70, 0.55, -0.25, 0
-0.74, 0.89, 0.65, 0
0.15, 0.78, -0.15, 0
-0.58, 0.96, -0.98, 0
0.91, 0.52, -0.14, 1
0.08, -0.62, -0.19, 1
-0.67, 0.91, 0.02, 0
0.73, -0.06, 0.49, 1
-0.23, -0.13, 0.52, 1
0.64, -0.24, -0.82, 1
0.82, -0.78, 0.74, 1
0.56, -0.64, -0.41, 1
0.58, 0.91, 0.73, 1
0.56, 0.17, -0.15, 1
-0.99, -0.90, -0.88, 0
0.42, 0.80, 0.23, 0
-0.61, -0.10, -0.32, 0
-0.26, -0.79, 0.83, 1
0.95, 0.18, -0.90, 1
0.82, -0.82, -0.32, 1
0.90, 0.87, 0.93, 1
0.68, -0.21, -0.09, 1
0.92, -0.56, -0.32, 1
-0.78, -0.98, -0.87, 0
0.60, 0.99, 0.94, 1
0.63, -0.58, -0.97, 1
-0.88, 0.91, -0.92, 0
0.92, -0.78, 0.14, 1
0.88, -0.35, 0.57, 1
0.13, 0.40, -0.37, 0
-0.27, 0.08, 0.64, 1
0.96, 0.67, 0.30, 1
0.17, 0.19, -0.47, 1
0.09, -0.01, -0.78, 0
-0.34, 0.79, 0.17, 0
0.16, -0.79, -0.23, 1
0.60, 0.98, -0.42, 0
-0.40, -0.30, 0.31, 1
-0.92, 0.10, -0.64, 0
-0.99, 0.10, 0.30, 0
0.29, 0.50, -0.72, 0
0.77, 0.83, 0.73, 1
0.57, -0.26, -0.20, 1
0.36, 0.76, 0.39, 0
0.45, 0.54, 0.58, 1
-0.63, 0.67, 0.23, 0
0.81, 0.45, -1.00, 1
0.00, 0.63, -0.27, 0
-0.38, -0.73, -0.64, 1
0.73, -0.54, 0.11, 1
0.94, -0.29, -0.86, 1
0.94, -0.82, 0.64, 1
-0.87, -0.87, 0.97, 1
-0.93, 0.12, -0.13, 0
-0.52, -0.48, 0.66, 1
0.07, 0.30, -0.35, 0
-0.35, 0.88, -0.23, 0
-0.99, 0.89, 0.50, 0
0.13, 0.54, -0.83, 0
0.92, 0.48, 0.09, 1
-0.94, 0.28, 0.38, 0
-0.64, 0.37, 0.01, 0
-0.91, -0.24, -0.12, 0
0.40, -0.94, -0.54, 1
0.11, -0.73, -0.04, 1
0.15, 0.37, 0.96, 1
0.80, -0.40, 0.28, 1
-0.32, -0.93, 0.03, 1
0.78, -0.74, -0.36, 1
0.06, 0.87, 0.41, 0
-0.04, -0.28, 0.34, 1
0.94, 0.93, -0.79, 0
0.46, -0.71, -0.22, 1
0.31, 0.76, -0.64, 0
0.39, 0.92, -0.01, 0
0.48, -0.44, -0.49, 1
0.68, -0.89, 0.16, 1
-0.48, -0.79, 0.72, 1
-0.86, 0.34, 0.72, 0
0.45, -0.24, -0.59, 1
1.00, -0.36, -0.61, 1
0.01, -0.17, -0.03, 1
0.53, -0.18, -0.57, 1
-0.98, -0.84, 0.25, 1
0.16, 0.77, -0.45, 0
0.52, 0.93, 0.55, 1
0.11, -0.53, -0.96, 1
